Estatus	Actividad

*65%*	Registrar y consultar Película por Sucursal.
*30%*	Implementar una funcionalidad que permita al usuario registrar (asociar) las películas que estarán disponibles en cada Sucursal.

100%	Registrar y consultar Categoría de Película.
100%	Registrar y consultar Película.
100%	Registrar y consultar Encargado.
100%	Registrar y consultar Sucursal.
100%	Registrar y consultar Cliente.
100%	Diseñar y programar un sistema en C# utilizando una interfaz gráfica.
100%	Diseñar las clases de objetos que representan las entidades del sistema (Categoría Película, Película, Encargado, Sucursal, Cliente, Película por Sucursal).
100%	Desarrollar la lógica para agregar y consultar información en los arreglos de objetos.
100%	Implementar validaciones.
100%	Implementar la funcionalidad para visualizar en pantalla todas las asociaciones registradas.
100%	Implementar el manejo de excepciones para prevenir el cierre del sistema en caso de un error y mostrar un mensaje al usuario.
100%	Usar Programación Orientada a Objetos (POO) para resolver el problema.
100%	Crear proyectos independientes en la solución para las diferentes capas del sistema (Entidades, Acceso a Datos, Lógica de Negocio, Presentación).
